Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,8,72,2,Some Random Commen with Id 0
1,0,8,117,2,Some Random Commen with Id 1
2,0,8,188,0,Some Random Commen with Id 2
3,2,4,122,4,Some Random Commen with Id 3
4,3,2,156,4,Some Random Commen with Id 4
5,3,2,123,1,Some Random Commen with Id 5
6,3,2,64,0,Some Random Commen with Id 6
7,3,2,76,6,Some Random Commen with Id 7
8,3,2,95,7,Some Random Commen with Id 8
9,3,2,86,5,Some Random Commen with Id 9
10,3,2,124,4,Some Random Commen with Id 10
11,3,2,136,5,Some Random Commen with Id 11
12,5,5,189,0,Some Random Commen with Id 12
13,5,5,58,0,Some Random Commen with Id 13
14,5,5,77,7,Some Random Commen with Id 14
15,6,1,70,6,Some Random Commen with Id 15
16,6,1,101,0,Some Random Commen with Id 16
17,6,1,52,6,Some Random Commen with Id 17
18,6,1,10,6,Some Random Commen with Id 18
19,6,1,9,6,Some Random Commen with Id 19
20,6,1,119,6,Some Random Commen with Id 20
21,7,6,151,9,Some Random Commen with Id 21
22,7,6,116,0,Some Random Commen with Id 22
23,7,6,17,4,Some Random Commen with Id 23
24,7,6,191,0,Some Random Commen with Id 24
25,7,6,111,7,Some Random Commen with Id 25
26,7,6,63,0,Some Random Commen with Id 26
27,9,3,132,6,Some Random Commen with Id 27
28,9,3,60,8,Some Random Commen with Id 28
29,9,3,134,1,Some Random Commen with Id 29
30,9,3,54,9,Some Random Commen with Id 30
31,10,8,6,0,Some Random Commen with Id 31
32,10,8,186,5,Some Random Commen with Id 32
33,10,8,37,2,Some Random Commen with Id 33
34,10,8,92,7,Some Random Commen with Id 34
35,10,8,18,5,Some Random Commen with Id 35
36,10,8,195,5,Some Random Commen with Id 36
37,11,3,120,0,Some Random Commen with Id 37
38,11,3,64,9,Some Random Commen with Id 38
39,11,3,33,3,Some Random Commen with Id 39
40,13,1,49,9,Some Random Commen with Id 40
41,13,1,33,6,Some Random Commen with Id 41
42,13,1,105,5,Some Random Commen with Id 42
43,13,1,100,1,Some Random Commen with Id 43
44,13,1,58,5,Some Random Commen with Id 44
45,14,5,187,8,Some Random Commen with Id 45
46,14,5,41,1,Some Random Commen with Id 46
47,15,6,32,8,Some Random Commen with Id 47
48,15,6,53,3,Some Random Commen with Id 48
49,16,3,42,3,Some Random Commen with Id 49
50,16,3,18,1,Some Random Commen with Id 50
51,16,3,40,1,Some Random Commen with Id 51
52,16,3,7,3,Some Random Commen with Id 52
53,16,3,42,1,Some Random Commen with Id 53
54,17,4,183,5,Some Random Commen with Id 54
55,17,4,168,4,Some Random Commen with Id 55
56,17,4,163,2,Some Random Commen with Id 56
57,17,4,158,8,Some Random Commen with Id 57
58,17,4,21,6,Some Random Commen with Id 58
59,17,4,74,2,Some Random Commen with Id 59
60,17,4,131,6,Some Random Commen with Id 60
61,18,1,74,7,Some Random Commen with Id 61
62,18,1,112,0,Some Random Commen with Id 62
63,18,1,162,1,Some Random Commen with Id 63
64,18,1,181,1,Some Random Commen with Id 64
65,18,1,78,7,Some Random Commen with Id 65
66,19,7,1,7,Some Random Commen with Id 66
67,19,7,62,9,Some Random Commen with Id 67
68,19,7,44,9,Some Random Commen with Id 68
69,19,7,58,7,Some Random Commen with Id 69
70,19,7,116,8,Some Random Commen with Id 70
71,19,7,23,4,Some Random Commen with Id 71
72,19,7,72,3,Some Random Commen with Id 72
73,19,7,147,0,Some Random Commen with Id 73
74,19,7,32,0,Some Random Commen with Id 74
75,20,1,193,9,Some Random Commen with Id 75
76,20,1,103,1,Some Random Commen with Id 76
77,21,1,157,4,Some Random Commen with Id 77
78,21,1,55,9,Some Random Commen with Id 78
79,21,1,121,3,Some Random Commen with Id 79
80,21,1,36,4,Some Random Commen with Id 80
81,22,4,173,7,Some Random Commen with Id 81
82,23,7,145,1,Some Random Commen with Id 82
83,23,7,127,8,Some Random Commen with Id 83
84,23,7,39,1,Some Random Commen with Id 84
85,23,7,87,3,Some Random Commen with Id 85
86,23,7,65,0,Some Random Commen with Id 86
87,23,7,147,1,Some Random Commen with Id 87
88,23,7,45,5,Some Random Commen with Id 88
89,23,7,155,4,Some Random Commen with Id 89
90,24,3,14,8,Some Random Commen with Id 90
91,25,8,29,7,Some Random Commen with Id 91
92,25,8,13,6,Some Random Commen with Id 92
93,25,8,36,8,Some Random Commen with Id 93
94,25,8,117,8,Some Random Commen with Id 94
95,26,3,38,2,Some Random Commen with Id 95
96,26,3,115,7,Some Random Commen with Id 96
97,26,3,159,7,Some Random Commen with Id 97
98,26,3,59,7,Some Random Commen with Id 98
99,26,3,188,5,Some Random Commen with Id 99
100,26,3,18,7,Some Random Commen with Id 100
101,26,3,91,0,Some Random Commen with Id 101
102,26,3,55,7,Some Random Commen with Id 102
103,27,2,77,3,Some Random Commen with Id 103
104,27,2,56,8,Some Random Commen with Id 104
105,27,2,74,3,Some Random Commen with Id 105
106,27,2,90,9,Some Random Commen with Id 106
107,27,2,87,6,Some Random Commen with Id 107
108,27,2,137,9,Some Random Commen with Id 108
109,27,2,41,5,Some Random Commen with Id 109
110,27,2,23,4,Some Random Commen with Id 110
111,27,2,69,2,Some Random Commen with Id 111
112,28,6,35,8,Some Random Commen with Id 112
113,28,6,132,0,Some Random Commen with Id 113
114,28,6,161,1,Some Random Commen with Id 114
115,28,6,38,8,Some Random Commen with Id 115
116,28,6,9,3,Some Random Commen with Id 116
117,28,6,120,8,Some Random Commen with Id 117
118,29,1,80,0,Some Random Commen with Id 118
119,29,1,174,4,Some Random Commen with Id 119
120,29,1,53,8,Some Random Commen with Id 120
121,30,1,141,6,Some Random Commen with Id 121
122,30,1,39,3,Some Random Commen with Id 122
123,30,1,192,2,Some Random Commen with Id 123
124,30,1,35,7,Some Random Commen with Id 124
125,30,1,17,4,Some Random Commen with Id 125
126,30,1,179,9,Some Random Commen with Id 126
127,30,1,12,8,Some Random Commen with Id 127
128,31,5,43,9,Some Random Commen with Id 128
129,31,5,155,3,Some Random Commen with Id 129
130,31,5,106,3,Some Random Commen with Id 130
131,31,5,130,0,Some Random Commen with Id 131
132,31,5,123,2,Some Random Commen with Id 132
133,31,5,35,2,Some Random Commen with Id 133
134,31,5,108,7,Some Random Commen with Id 134
135,31,5,78,6,Some Random Commen with Id 135
136,31,5,28,8,Some Random Commen with Id 136
137,32,3,149,7,Some Random Commen with Id 137
138,32,3,129,3,Some Random Commen with Id 138
139,33,8,150,7,Some Random Commen with Id 139
140,33,8,66,6,Some Random Commen with Id 140
141,33,8,33,0,Some Random Commen with Id 141
142,34,3,10,1,Some Random Commen with Id 142
143,34,3,83,1,Some Random Commen with Id 143
144,34,3,48,3,Some Random Commen with Id 144
145,34,3,100,3,Some Random Commen with Id 145
146,34,3,174,3,Some Random Commen with Id 146
147,35,0,28,1,Some Random Commen with Id 147
148,35,0,18,5,Some Random Commen with Id 148
149,35,0,46,3,Some Random Commen with Id 149
150,35,0,122,7,Some Random Commen with Id 150
151,35,0,121,5,Some Random Commen with Id 151
152,35,0,172,7,Some Random Commen with Id 152
153,35,0,1,4,Some Random Commen with Id 153
154,36,8,97,6,Some Random Commen with Id 154
155,36,8,89,6,Some Random Commen with Id 155
156,36,8,82,8,Some Random Commen with Id 156
157,36,8,30,9,Some Random Commen with Id 157
158,36,8,124,3,Some Random Commen with Id 158
159,36,8,104,1,Some Random Commen with Id 159
160,36,8,18,4,Some Random Commen with Id 160
161,36,8,90,3,Some Random Commen with Id 161
162,37,1,4,9,Some Random Commen with Id 162
163,37,1,79,8,Some Random Commen with Id 163
164,37,1,27,1,Some Random Commen with Id 164
165,37,1,65,9,Some Random Commen with Id 165
166,37,1,187,2,Some Random Commen with Id 166
167,37,1,72,8,Some Random Commen with Id 167
